"id","t","n1","e1","h1","v1","ψ1","n2","e2","h2","v2","ψ2"
1,0,-8663.356343901081,334.6189855606664,8273.006246536497,280.548,-13.715783000000005,2172.6419947992413,-4228.932261893066,1685.3174490867889,156.281,200.15960299999992
1,1,-8470.635911654446,381.65540917758483,8074.628853288174,280.548,-12.986118000000005,2025.9353555932234,-4175.072137739151,1685.3174490867889,154.82377,203.0110329999999
1,2,-8277.33211172748,426.23377933392,7876.25146003985,280.548,-12.256453000000006,1883.4309754667102,-4114.550229294595,1685.3174490867889,153.36654,205.8624629999999
1,3,-8083.476294029339,468.3468663329183,7677.874066791526,280.548,-11.526788000000005,1745.4250523659816,-4047.6498497688603,1685.3174490867889,151.90930999999998,208.71389299999993
1,4,-7889.099897995135,507.98784029615905,7479.496673543203,280.548,-10.797123000000006,1612.1960767005557,-3974.6671223066905,1685.3174490867889,150.45207999999997,211.56532299999992
1,5,-7694.2344474871015,545.1502722712198,7281.119280294879,280.548,-10.067458000000006,1484.0042983432368,-3895.9099236648235,1685.3174490867889,148.99484999999996,214.41675299999991
1,6,-7498.91154568207,579.8281352743232,7082.741887046555,280.548,-9.337793000000005,1361.0912546747822,-3811.6968069746126,1685.3174490867889,147.53761999999995,217.50006299999993
1,7,-7303.162869946084,612.0158052677864,6884.364493798232,280.548,-8.608128000000006,1244.0418897862185,-3721.8814658883143,1685.3174490867889,146.08038999999994,220.5833729999999
1,8,-7107.020166696983,641.7080620721263,6685.987100549908,280.548,-7.878463000000006,1133.0996581908555,-3626.8483054063386,1685.3174490867889,144.62315999999993,223.66668299999992
1,9,-6910.515246255779,668.9000902126662,6487.609707301584,280.548,-7.148798000000006,1028.4837814353486,-3526.991524269241,1685.3174490867889,143.16592999999992,226.74999299999993
1,10,-6713.67997768768,693.5874797005065,6289.232314053261,280.548,-6.364025000000006,930.3889086651446,-3422.713628965574,1685.3174490867889,141.7086999999999,229.83330299999992
1,11,-6516.525042945327,715.5766101685066,6090.854920804937,280.548,-5.579252000000006,838.9848664457828,-3314.423940067457,1685.3174490867889,140.2514699999999,232.91661299999993
1,12,-6319.08742856846,734.8633564252334,5892.4775275566135,280.548,-4.794479000000006,754.4164976570588,-3202.5370961689214,1685.3174490867889,138.7942399999999,235.9999229999999
1,13,-6121.404174127909,751.4441002502863,5694.10013430829,280.548,-4.009706000000007,676.8035889693942,-3087.4715606588575,1685.3174490867889,137.33700999999988,239.08323299999992
1,14,-5923.51236527692,765.315731073083,5495.722741059966,280.548,-0.9005660000000066,606.2408861082137,-2969.648136499377,1685.3174490867889,135.87977999999987,242.1665429999999
1,15,-5725.159476146348,768.4336671781022,5297.345347811643,280.548,2.2085739999999934,542.7981958138447,-2849.488494102018,1685.3174490867889,134.42254999999986,244.16317299999992
1,16,-5526.929445422654,760.7887295535256,5098.967954563319,280.548,5.317713999999992,484.2155457699617,-2728.502978182391,1685.3174490867889,132.96531999999985,246.15980299999993
1,17,-5329.405850104722,742.403424424768,4900.590561314995,280.548,5.681596999999993,430.47267798174573,-2606.8827476095103,1685.3174490867889,131.50808999999984,248.15643299999994
1,18,-5132.003001782824,722.7640347600709,4702.213168066672,280.548,6.045479999999994,381.54197145988127,-2484.8165209343188,1685.3174490867889,130.05085999999983,250.15306299999992
1,19,-4934.7288626045465,701.8713527046356,4503.835774818348,280.548,6.4093629999999955,337.3885885356622,-2362.4902974044194,1685.3174490867889,128.59362999999982,252.14969299999993
1,20,-4737.591389526054,679.7262209545993,4305.458381570024,280.548,6.773245999999997,297.97063160672644,-2240.0870852401736,1685.3174490867889,127.13639999999982,254.14632299999994
1,21,-4540.598533991149,656.3295327230488,4107.080988321702,280.548,7.137128999999998,263.23930998412243,-2117.7866375578074,1685.3174490867889,125.67916999999983,256.1429529999999
1,22,-4343.75824161056,631.6822317039898,3908.703595073378,280.548,7.402265999999997,233.13911649729414,-1995.7651963110154,1685.3174490867889,124.22193999999983,258.13958299999996
1,23,-4147.034112097706,606.1243166988429,3710.3262018250543,280.548,7.667402999999997,207.60801350004343,-1874.1952446078608,1685.3174490867889,122.76470999999984,261.29644299999995
1,24,-3950.430358072427,579.6563350008154,3511.9488085767307,280.548,7.932539999999996,189.030989096175,-1752.8442323101376,1685.3174490867889,121.30747999999984,261.61106399999994
1,25,-3753.9511895768537,552.2788533911403,3313.571415328407,280.548,8.469015999999996,171.33319893261302,-1632.8346788267716,1685.3174490867889,119.85024999999985,261.92568499999993
1,26,-3557.736972845115,523.0629107510323,3115.1940220800834,280.548,9.005491999999997,154.49934415873236,-1514.1725376084607,1685.3174490867889,118.39301999999985,262.2403059999999
1,27,-3361.804910023207,492.0110684489748,2916.8166288317598,280.548,9.541967999999997,138.5140872916435,-1396.8636345038217,1685.3174490867889,116.93578999999986,262.55492699999996
1,28,-3166.1721785206278,459.1260488072018,2718.439235583436,280.548,10.078443999999998,123.36205315643757,-1280.9136675159452,1685.3174490867889,115.47855999999986,262.86954799999995
1,29,-2970.8559295044292,424.41073486302975,2520.0618423351125,280.548,10.078443999999998,109.02782982793164,-1166.32820656543,1685.3174490867889,114.02132999999986,263.18416899999994
1,30,-2775.539680488231,389.6954209188577,2321.684449086789,280.548,10.078443999999998,95.49596957387271,-1053.1126932599052,1685.3174490867889,112.56409999999987,263.49879
1,31,-2499.320792177682,340.60055311697,2321.684449086789,280.548,10.078443999999998,82.75098979955948,-941.2724406700514,1685.3174490867889,111.10686999999987,263.813411
